23790,AFR 213 - 01,Race Relatns&Racial Inequality,20,10 / 30,Founders Hall 126,07:00 pm - 09:30 pm,W,Ophera Davis,,SBA,More
24287,AFR 222 - 01,Blacks & Women in Amer Cinema,30,0 / 30,Founders Hall 120,07:00 pm - 09:30 pm,T,Pashington Obeng,,ARS,More
24462,AFR 228 - 01,Black Fem Philosophy,30,0 / 30,Founders Hall 423,02:50 pm - 04:00 pm,MTh,Lindsey Stewart,,REP,More
23798,AFR 237 - 01,Breaking the Glass Ceiling,15,0 / 15,Clapp Library 209,11:10 am - 12:20 pm,TF,Ophera Davis,,SBA,More
24288,AFR 243 - 01,The Black Church,16,9 / 25,Founders Hall 126,01:30 pm - 04:00 pm,Th,Pashington Obeng,,"ARS, REP",More
24289,AFR 266 - 01,Black Drama,8,17 / 25,Clapp Library 148,07:00 pm - 09:30 pm,M,Selwyn Cudjoe,,ARS,More
24030,AFR 295 - 01,Harlem Renaissance,20,0 / 20,Green Hall 136C,02:50 pm - 04:00 pm,MTh,Octavio Gonzalez,,"HS, LL",More
24290,AFR 301 - 01,Sem: South Africa,1,24 / 25,Founders Hall 121,02:15 pm - 04:45 pm,W,Filomina Steady,,SBA,More
22222,AFR 306 - 01,Urban Development & Underclass,11,9 / 20,Founders Hall 121,01:30 pm - 04:00 pm,M,Filomina Steady,,SBA,More
24291,AFR 320 - 01,Sem: Blackness in Am. Lit.,9,7 / 16,Clapp Library 148,01:30 pm - 04:00 pm,T,Selwyn Cudjoe,,LL,More
24481,AMST 117 - 01,Musical Theater,50,0 / 50,Founders Hall 120,11:10 am - 12:20 pm,TF,Lawrence Rosenwald,,LL,More
24292,AMST 212 - 01,Korean-American Lit. & Culture,8,17 / 25,Founders Hall 225,02:15 pm - 04:45 pm,W,Ellen Widmer,,LL,More
24470,AMST 217 - 01,Latina/o Music and Identity,12,8 / 20,Pendleton Hall East 127,11:10 am - 12:20 pm,MTh,Petra Rivera-Rideau,,SBA,More
23804,AMST 220 - 01,Liberty and Morality,6,24 / 30,Pendleton Hall East 351,01:30 pm - 04:00 pm,T,Thomas Cushman,Jonathan Imber,SBA,More
24293,AMST 222 - 01,Asian American Psychology,21,9 / 30,Science Center 270,01:30 pm - 02:40 pm,TF,Stephen Chen,,SBA,More
23797,AMST 225 - 01,Urban Studies and Policy,15,15 / 30,Pendleton Hall East 239,08:30 am - 09:40 am,MTh,Peggy Levitt,,SBA,More
24529,AMST 228 - 01,Religious Themes Amer Fiction,13,12 / 25,Founders Hall 307,02:50 pm - 04:00 pm,MTh,Stephen Marini,,"LL, REP",More
24483,AMST 231 - 01,Americans in Paris (in Eng),16,4 / 20,Green Hall 130,11:10 am - 12:20 pm,TF,Venita Datta,Paul Fisher,LL,More
24294,AMST 240 - 01,Rise of an American Empire,8,17 / 25,Founders Hall 207,01:30 pm - 02:40 pm,TF,Paul Fisher,,"HS, LL",More
24507,AMST 283 - 01,Tpc: New Orleans,13,17 / 30,Founders Hall 120,04:10 pm - 05:20 pm,MTh,Luther Tyler,,LL,More
23401,AMST 315 - 01,"Beats, Rhymes, and Life",15,0 / 15,Alumnae Hall 102,02:15 pm - 04:45 pm,W,Michael Jeffries,,SBA,More
24295,AMST 320 - 01,Sem: Blackness in Am. Lit.,9,7 / 16,Clapp Library 148,01:30 pm - 04:00 pm,T,Selwyn Cudjoe,,LL,More
24471,AMST 325 - 01,Race in Puerto Rico,3,12 / 15,Pendleton Hall East 151,01:30 pm - 04:00 pm,Th,Petra Rivera-Rideau,,SBA,More
24515,AMST 365 - 01,Visions of American City,8,12 / 20,Founders Hall 317,11:10 am - 12:20 pm,TF,Kathleen Brogan,,LL,More
20289,ANTH 104 - 01,Intro Cultural/Social Anth,26,4 / 30,Pendleton Hall East 239,11:10 am - 12:20 pm,TF,Susan Ellison,,SBA,More
23806,ANTH 204 - 01,Physical Anthropology,17,8 / 25,Pendleton Hall East 216,09:50 am - 11:00 am,MTh,Adam Van Arsdale,,SBA,More
22823,ANTH 209 - 01,Forensic Anthropology w/Lab,40,2 / 42,Pendleton Hall East 239,11:10 am - 12:20 pm,MTh,Adam Van Arsdale,,NPS,More
24035,ANTH 209 - L01,LAB: Forensic Anthropology,18,4 / 22,Science Center 314,09:50 am - 11:00 am,W,Adam Van Arsdale,,NPS,More
24036,ANTH 209 - L02,LAB: Forensic Anthropology,22,0 / 22,Science Center 314,11:10 am - 12:20 pm,W,Adam Van Arsdale,,NPS,More
